Annotation_Accession,host,isolation_source,Manual_Annotation
GCF_013462805.1_ASM1346280v1,NA,NO,NA
GCF_000317935.1_ASM31793v1,NA,NA,NA
GCF_000784865.1_ASM78486v1,NA,sink drain,Human-impacted
GCF_009834225.1_ASM983422v1,Tanacetum vulgare,plant,Plants
GCF_001566615.1_ASM156661v1,Homo sapiens,NA,Humans
GCF_000021125.1_ASM2112v1,NA,NA,NA
GCF_002368055.1_ASM236805v1,NA,NA,NA
GCF_000017585.1_ASM1758v1,NA,NA,NA
GCF_002110885.1_Cjejuni.CJ505CC21_v1.0,Homo sapiens,Feces,Humans
GCF_001753065.1_ASM175306v1,NA,Clinical,Humans
GCF_001640965.1_ASM164096v1,Bombyx mori,NA,Animals
GCF_000319005.1_ASM31900v1,NA,NA,NA
GCF_009806715.1_ASM980671v1,swine,NA,Livestock
GCF_009739735.1_ASM973973v1,Homo sapiens,blood,Humans
GCF_008330985.1_ASM833098v1,Homo sapiens,no data,Humans
GCF_002165345.2_ASM216534v2,NA,Sewage,Human-impacted
GCF_002211905.1_ASM221190v1,Homo sapiens,wound,Humans
GCF_002866885.2_ASM286688v2,Homo sapiens,feces,Humans
GCF_002201815.1_ASM220181v1,NA,NA,NA
GCF_010918035.1_ASM1091803v1,duck,stool,Livestock
GCF_000283875.1_ASM28387v1,NA,NA,NA
GCF_003627275.1_ASM362727v1,NA,raw cow milk,Livestock
GCF_006280355.1_ASM628035v1,chicken,young chicken,Livestock
GCF_001296985.1_ASM129698v1,Homo sapiens,Swab,Humans
GCF_011745665.1_ASM1174566v1,Zophobas atratus,NA,Animals
GCF_009829945.1_ASM982994v1,Edessa sp.,NA,Animals
GCF_002866125.1_ASM286612v1,NA,NA,NA
GCF_012933685.1_ASM1293368v1,Sablefish,NA,Animals
GCF_000724505.1_ASM72450v1,NA,sink drain,Human-impacted
GCF_003812925.1_ASM381292v1,Homo sapiens,NA,Humans
GCF_009937995.1_ASM993799v1,NA,snow,Freshwater
GCF_001971565.1_ASM197156v1,NA,NA,NA
GCF_003999335.1_ASM399933v1,NA,NA,NA
GCF_000978785.2_ASM97878v2,Homo sapiens,NA,Humans
GCF_000179575.2_ASM17957v2,NA,deep-sea hydrothermal vent chimney at the Iheya Ridge in the Okinawa Trough,Marine
GCF_000961435.1_ASM96143v1,Citrus aurantiifolia,citrus infected tissue,Agriculture
GCF_013154915.1_ASM1315491v1,NA,chemical manufacturing sites,Human-impacted
GCF_001021855.1_ASM102185v1,Homo sapiens,stool sample,Humans
GCF_000210855.2_ASM21085v2,NA,NA,NA
GCF_000027045.1_ASM2704v1,NA,NA,NA
GCF_006742565.1_ASM674256v1,NA,bone powder,NA
GCF_010918375.1_ASM1091837v1,pigeon,stool,Animals
GCF_009730355.1_ASM973035v1,Homo sapiens,inflamed biopsy tissue from sigmoid colon,Humans
GCF_002966875.1_ASM296687v1,Homo sapiens,blie,Humans
GCF_004120175.1_ASM412017v1,Homo sapiens,sputum,Humans
GCF_001999925.1_ASM199992v1,Homo sapiens,Sputum,Humans
GCF_000020625.1_ASM2062v1,NA,NA,NA
GCF_008244745.1_ASM824474v1,NA,NA,NA
GCF_000834335.1_ASM83433v1,Homo sapiens,human,Humans
GCF_010319905.2_ASM1031990v2,Homo sapiens,NA,Humans
GCF_000025625.1_ASM2562v1,NA,ATCC 43099,Terrestrial
GCF_013423885.1_ASM1342388v1,turtle,organ,Animals
GCF_000967115.1_CT1,NA,NA,NA
GCF_012113635.1_ASM1211363v1,NA,milk,Food
GCF_002139975.1_ASM213997v1,Citrus aurantiifolia,NA,Agriculture
GCF_004141875.1_ASM414187v1,NA,food,Food
GCF_900087865.2_WHOK,NA,NA,NA
GCF_002836055.1_ASM283605v1,NA,sea ice,Marine
GCF_006517075.1_ASM651707v1,NA,chicken,Livestock
GCF_002848405.1_ASM284840v1,Equus caballus,Placental tissue,Livestock
GCF_004014965.1_ASM401496v1,NA,Korean infant feces,Humans
GCF_000014245.1_ASM1424v1,NA,NA,NA
GCF_002216755.1_ASM221675v1,Eucommia ulmoides,NA,Plants
GCF_002248115.3_ASM224811v3,Swine,Rectal swab,Livestock
GCF_006384175.1_ASM638417v1,pig,feces,Livestock
GCF_002501585.1_ASM250158v1,NA,marine sediment,Sediment
GCF_013375735.1_ASM1337573v1,NA,NA,NA
GCF_001714585.1_ASM171458v1,Homo sapiens,Throat swab,Humans
GCF_009883715.1_ASM988371v1,NA,soil,Soil
GCF_000755585.2_ASM75558v2,NA,permafrost,Soil
GCF_003194225.1_ASM319422v1,Homo sapiens,blood,Humans
GCF_001683355.1_ASM168335v1,Homo sapiens,curette,Humans
GCF_001750885.1_ASM175088v1,Homo sapiens,organic material,Humans
GCF_001045995.2_ASM104599v2,Homo sapiens,blood,Humans
GCF_002848685.1_ASM284868v1,Homo sapiens,blood,Humans
GCF_001549895.1_ASM154989v1,NA,Tsunami-affected soil,Soil
GCF_005037815.2_ASM503781v2,Homo sapiens,Clinical: Human (Homo sapiens),Humans
GCF_001682235.1_ASM168223v1,NA,Saeu-jeotgal; salted fermented food,Food
GCF_001558755.2_ASM155875v2,Homo sapiens,Broviac blood,Humans
GCF_002814035.1_ASM281403v1,Veronaeopsis simplex Y34,NA,Animals
GCF_000278605.1_gacin08v1.0,Homo sapiens,NA,Humans
GCF_002934895.1_ASM293489v1,NA,NA,NA
GCF_003718255.1_ASM371825v1,NA,NA,NA
GCF_013343615.1_ASM1334361v1,NA,Food (meat),Food
GCF_900183985.1_NBC2815.1,NA,NA,NA
GCF_900066015.1_Cfx-K,NA,Activated sludge biomass,Human-impacted
GCF_003957745.1_ASM395774v1,Penaeus (Litopenaeus) vannamei (whiteleg shrimp),Hepatopancreas of EMS shrimp,Animals
GCF_012568845.1_ASM1256884v1,Donacia cinerea,Beetle Malpighian tubules,Animals
GCF_003717835.1_ASM371783v1,NA,NA,NA
GCF_013343215.1_ASM1334321v1,pig,feces,Livestock
GCF_013393945.1_ASM1339394v1,Leiosporoceros dussii,NA,Plants
GCF_001692535.1_ASM169253v1,Homo sapiens,human,Humans
GCF_000445405.1_ASM44540v1,Homo sapiens,72-year-old male with cerebral infarction after colon carcinoma resection,Humans
GCF_002197105.1_ASM219710v1,Medicago truncatula,NA,Plants
GCF_900235815.1_CFBP3840,NA,NA,NA
GCF_000600975.2_Lokhon,NA,marine biofilm,Marine
GCF_000970105.1_ASM97010v1,NA,Electroporation of Y pestis Kim6+ in pCD1Ap+,Human-impacted
GCF_003812725.1_ASM381272v1,Homo sapiens,NA,Humans
GCF_013177355.1_ASM1317735v1,sugarcane,NA,Agriculture
GCF_004101545.1_ASM410154v1,NA,food,Food
GCF_902459475.1_pb_189-1_HGAP3_CTR,NA,Borehole HDN1; spa,Human-impacted
GCF_002752675.1_ASM275267v1,NA,Tianshan glacier,Freshwater
GCF_000171735.2_ASM17173v2,NA,NA,NA
GCF_008931325.1_ASM893132v1,Homo sapiens,clinical sample,Humans
GCF_001047655.1_ASM104765v1,Mus musculus,Kidney,Animals
GCF_000299455.1_ASM29945v1,Homo sapiens,NA,Humans
GCF_003999235.1_ASM399923v1,fulmars,cloacal swab of non-flying juvenile fulmar,Animals
GCF_002368215.1_ASM236821v1,NA,NA,NA
GCF_011492945.1_ASM1149294v1,NA,marine sediment,Sediment
GCF_002759335.1_ASM275933v1,Phaseolus vulgaris,NA,Agriculture
GCF_008931445.1_ASM893144v1,NA,Shower 3,Human-impacted
GCF_001941945.1_ASM194194v1,NA,Lake Untersee,Freshwater
GCF_009497835.1_ASM949783v1,Cow,Slaughterhouse,Livestock
GCF_001922045.1_ASM192204v1,Citrus x paradisi,citrus leaf,Agriculture
GCF_003112995.1_ASM311299v1,Ictalurus punctatus,NA,Animals
GCF_000452525.4_ASM45252v4,NA,stream water,Freshwater
GCF_001655535.1_ASM165553v1,Homo sapiens,Lab strain,Humans
GCF_013402875.1_ASM1340287v1,NA,saline soil sample,Soil
GCF_012052605.1_ASM1205260v1,Homo sapiens,Diarrheal patient,Humans
GCF_005222405.1_ASM522240v1,NA,cattle,Livestock
GCF_001587135.1_ASM158713v1,plantain,NA,Agriculture
GCF_001618665.1_ASM161866v1,NA,NA,NA
GCF_001576275.1_ASM157627v1,Homo sapiens,stool,Humans
GCF_002888685.1_ASM288868v1,NA,biofilm boat,Human-impacted
GCF_001700945.1_ASM170094v1,NA,PCBs contaminated soil,Human-impacted
GCF_009913175.1_ASM991317v1,Homo sapiens,NA,Humans
GCF_004138605.1_ASM413860v1,Homo sapiens,NA,Humans
GCF_002104335.1_ASM210433v1,rabbit,Rabbit; caecal,Livestock
GCF_003443575.1_ASM344357v1,NA,NA,NA
GCF_009728585.1_ASM972858v1,NA,sediment,Sediment
GCF_004136415.1_ASM413641v1,NA,Leaf from Rome apple cultivar,Agriculture
GCF_009667765.1_ASM966776v1,NA,animal,Animals
GCF_001183765.1_ASM118376v1,NA,NA,NA
GCF_009913275.1_ASM991327v1,NA,Doenjang(Soybean paste),Food
GCF_003994345.2_ASM399434v2,NA,soil sediment of a pristine; acidic;,Soil
GCF_001307215.1_ASM130721v1,NA,derived from CIP 106327 (Collection de l'Institute Pasteur; Paris; France),Human-impacted
GCF_002024265.1_ASM202426v1,NA,local geographical source,NA
GCF_003006075.1_ASM300607v1,sheep,placental tissue,Livestock
GCF_000010805.1_ASM1080v1,NA,NA,NA
GCF_004919145.1_ASM491914v1,Homo sapiens,NA,Humans
GCF_000240165.1_ASM24016v1,NA,NA,NA
GCF_003665435.1_ASM366543v1,Pig,NA,Livestock
GCF_002393365.1_ASM239336v1,Homo sapiens,human,Humans
GCF_002291265.1_ASM229126v1,Oncorhynchus kisutch,U.S. Pacific Ocean coast,Animals
GCF_005082825.1_ASM508282v1,Brevicoryne brassicae,air,Animals
GCF_001634365.1_ASM163436v1,NA,soil,Soil
GCF_002947675.1_ASM294767v1,NA,NA,NA
GCF_002752995.1_ASM275299v1,NA,NA,NA
GCF_000835185.1_ASM83518v1,NA,soil,Soil
GCF_002946835.1_ASM294683v1,NA,soil,Soil
GCF_002906455.1_ASM290645v1,NA,Bay of Bengal,Marine
GCF_008931465.1_ASM893146v1,NA,Shower 3,Human-impacted
GCF_000344475.3_ASM34447v3,Actinidia,NA,Agriculture
GCF_005885915.1_ASM588591v1,Homo sapiens,NA,Humans
GCF_012045365.1_ASM1204536v1,NA,Fermented dairy products,Food
GCF_001635915.1_ASM163591v1,NA,soil,Soil
GCF_003571685.1_ASM357168v1,NA,NA,NA
GCF_002249955.1_ASM224995v1,NA,NA,NA
GCF_001610775.1_ASM161077v1,NA,E-waste recycling site,Human-impacted
GCF_013306545.1_ASM1330654v1,tomato,NA,Agriculture
GCF_009648695.1_ASM964869v1,NA,green chili,Food
GCF_000367685.2_ASM36768v2,NA,NA,NA
GCF_003288395.1_ASM328839v1,NA,NA,NA
GCF_003986655.1_ASM398665v1,Homo sapiens,NA,Humans
GCF_013256075.1_ASM1325607v1,duck,intestine,Livestock
GCF_002068175.1_ASM206817v1,Oryctolagus cuniculus,lung,Animals
GCF_009729975.1_ASM972997v1,Homo sapiens,clinical isolate,Humans
GCF_003111685.1_ASM311168v1,NA,oil-contaminated sediment,Human-impacted
GCF_000027125.1_ASM2712v1,NA,NA,NA
GCF_009931375.1_ASM993137v1,Oryza sativa,NA,Agriculture
GCF_001663435.1_ASM166343v1,Homo sapiens,NA,Humans
GCF_000182835.1_ASM18283v1,NA,NA,NA
GCF_002251875.3_ASM225187v3,Swine,Rectal swab,Livestock
GCF_001641305.1_ASM164130v1,NA,retail raw meat,Food
GCF_000742835.1_ASM74283v1,Acanthamoeba,NA,Animals
GCF_005518015.1_ASM551801v1,Homo sapiens,sputum,Humans
GCF_001638825.1_ASM163882v1,NA,Irradiated ground pork and beef,Food
GCF_002764115.1_ASM276411v1,Oxytropis triphylla,root nodule,Plants
GCF_003408615.1_ASM340861v1,Homo sapiens,Rectal swab,Humans
GCF_000832445.1_ASM83244v1,Homo sapiens,NA,Humans
GCF_003949595.2_ASM394959v2,Homo sapiens,trach asp,Humans
GCF_013122645.1_ASM1312264v1,rice,NA,Agriculture
GCF_001484605.1_ASM148460v1,NA,soil,Soil
GCF_000019245.3_ASM1924v3,NA,koumiss (fermented mare's milk),Food
GCF_002156675.1_ASM215667v1,Bos taurus,bovine milk,Livestock
GCF_001767415.1_ASM176741v1,Ixodes scapularis,NA,Animals
GCF_000317675.1_ASM31767v1,NA,fresh water,Freshwater
GCF_009648795.1_ASM964879v1,Homo sapiens,stool,Humans
GCF_005937795.2_ASM593779v2,NA,soil,Soil
GCF_005144925.1_ASM514492v1,Homo sapiens,NA,Humans
GCF_000223375.1_ASM22337v1,NA,NA,NA
GCF_009913995.1_ASM991399v1,NA,Soybean paste (Chonggugjang),Food
GCF_000635895.2_ASM63589v2,NA,sludge of an anaerobic digestion reactor,Human-impacted
GCF_006171285.1_ASM617128v1,Homo sapiens,stool,Humans
GCF_000786695.1_ASM78669v1,NA,soil; mineral horizon,Soil
GCF_009709115.1_ASM970911v1,Oncorhynchus kisutch,NA,Animals
GCF_001611975.1_ASM161197v1,Homo sapiens,NA,Humans
GCF_009739865.1_ASM973986v1,Homo sapiens,blood,Humans
GCF_005144985.1_ASM514498v1,Homo sapiens,NA,Humans
GCF_006228485.1_ASM622848v1,Punica granatum,NA,Agriculture
GCF_003516185.1_ASM351618v1,NA,marine,Marine
GCF_005305005.1_ASM530500v1,Homo sapiens,feces,Humans
GCF_001026965.1_ASM102696v1,Homo sapiens,Lower respiratory tract,Humans
GCF_000195775.1_ASM19577v1,NA,NA,NA
GCF_006741505.1_ASM674150v1,NA,NA,NA
GCF_001702195.1_ASM170219v1,NA,pilsner beer,Food
GCF_001663195.1_ASM166319v1,Homo sapiens,NA,Humans
GCF_000017665.1_ASM1766v1,NA,NA,NA
GCF_000195755.1_ASM19575v1,NA,NA,NA
GCF_003660165.1_ASM366016v1,NA,soil,Soil
GCF_004848885.1_ASM484888v1,Homo sapiens,NA,Humans
GCF_900660635.1_56793_F01-3,Bird (Turkey),Air sacs,Livestock
GCF_900087725.2_WHON,NA,NA,NA
GCF_013113675.1_ASM1311367v1,NA,fermented vegetable,Food
GCF_013305215.1_ASM1330521v1,NA,chicken,Livestock
GCF_002000565.1_ASM200056v1,Homo sapiens,Nose,Humans
GCF_002080415.1_ASM208041v1,Skeletonema marinoi strain RO5AC,Top-layer sediments,Sediment
GCF_001685435.3_ASM168543v3,NA,fermented anchovy (Engraulis japonica),Food
GCF_001623845.1_ASM162384v1,Bovine,bovine adipose trim,Livestock
GCF_005037845.2_ASM503784v2,Homo sapiens,Clinical: Human (Homo sapiens),Humans
GCF_009734425.1_ASM973442v1,NA,soil from a small paddock,Soil
GCF_000259235.1_ASM25923v1,Homo sapiens,NA,Humans
GCF_001890425.1_ASM189042v1,Vavilovia formosa,soil,Soil
GCF_013365515.1_ASM1336551v1,NA,NA,NA
GCF_006364695.1_ASM636469v1,NIST Mixed Microbial RM strain,ATCC Isolate,Humans
GCF_000961495.1_ASM96149v1,citrus spp.,citrus infected tissue,Agriculture
GCF_000026185.1_ASM2618v1,NA,NA,NA
GCF_001484935.1_ASM148493v1,NA,NA,NA
GCF_002850435.1_ASM285043v1,NA,tidal flat sample,Sediment
GCF_002892045.1_ASM289204v1,NA,clam larvae aquaculture,Human-impacted
GCF_000022205.1_ASM2220v1,NA,NA,NA
GCF_000253135.1_ASM25313v1,Homo sapiens,human wound secretion,Humans
GCF_009709495.1_ASM970949v1,Salmo salar,NA,Animals
GCF_001902255.1_ASM190225v1,Homo sapiens,Perirectal,Humans
GCF_003614235.1_ASM361423v1,swine,Swine liver,Livestock
GCF_003522705.1_ASM352270v1,Homo sapiens,Bronchial fluid,Humans
GCF_900250125.1_CBM2607,NA,NA,NA
GCF_012934495.1_ASM1293449v1,Homo sapiens,rectal swab from healthy college student,Humans
GCF_009734305.1_ASM973430v1,Homo sapiens,blood,Humans
GCF_013305305.1_ASM1330530v1,Homo sapiens,blood,Humans
GCF_002011985.1_ASM201198v1,Homo sapiens,NA,Humans
GCF_001952935.1_ASM195293v1,NA,arsenic-contaminated soil,Human-impacted
GCF_001611425.1_ASM161142v1,Homo sapiens,26-year old man with an implant associated osteitis,Humans
GCF_009884315.1_ASM988431v1,Homo sapiens,stool,Humans
GCF_003359295.2_ASM335929v2,Homo sapiens,NA,Humans
GCF_000828595.1_ASM82859v1,NA,NA,NA
GCF_000007805.1_ASM780v1,NA,NA,NA
GCF_001664545.1_ASM166454v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_002073635.2_ASM207363v2,Homo sapiens,Urine suprapubic aspirate,Humans
GCF_013170745.1_ASM1317074v1,NA,NA,NA
GCF_001703595.1_ASM170359v1,NA,poultry meat,Food
GCF_002173675.1_ASM217367v1,NA,food,Food
GCF_000255535.1_ASM25553v1,NA,NA,NA
GCF_001465675.1_ASM146567v1,Homo sapiens,unavailable,Humans
GCF_010120755.1_ASM1012075v1,Homo sapiens,hospital,Humans
GCF_001806425.1_ASM180642v1,Homo sapiens,Blood,Humans
GCF_000710505.1_Plagard2.0,NA,freshwater,Freshwater
GCF_004137795.1_ASM413779v1,Zantedeschia aethiopica,tuber,Plants
GCF_002201855.1_ASM220185v1,NA,pig feces,Livestock
GCF_009648915.1_ASM964891v1,NA,Cilantro,Agriculture
GCF_000262715.1_ASM26271v1,Blaberus giganteus,NA,Animals
GCF_000769405.2_CC275e2020,Trifolium repens,soil,Soil
GCF_003227955.1_ASM322795v1,NA,Animal hide,Animals
GCF_001597895.1_ASM159789v1,arctic char,sick fish,Animals
GCF_002848505.1_ASM284850v1,NA,meat processing facility,Human-impacted
GCF_011752475.1_ASM1175247v1,Microlophium carnosum,adult insect on Urtica dioica,Animals
GCF_013377315.1_ASM1337731v1,NA,chicken,Livestock
GCF_009650015.1_ASM965001v1,NA,blown cheese,Food
GCF_004322995.1_ASM432299v1,NA,NA,NA
GCF_000270025.1_ASM27002v1,NA,NA,NA
GCF_000711105.1_F_357,Homo sapiens,feces,Humans
GCF_000174795.2_ASM17479v2,NA,Obsidian Hot Spring in Yellowstone National Park,Terrestrial
GCF_000400635.2_ASM40063v2,NA,NA,NA
GCF_003711065.1_ASM371106v1,Homo sapiens,NA,Humans
GCF_001699875.1_ASM169987v1,Homo sapiens,Stool sample,Humans
GCF_001654435.1_ASM165443v1,NA,Sludge,Human-impacted
GCF_003428425.1_ASM342842v1,Homo sapiens,NA,Humans
GCF_005221905.1_ASM522190v1,NA,cattle,Livestock
GCF_001308145.2_ASM130814v2,NA,fermented food,Food
GCF_004634385.1_ASM463438v1,NA,food sludge compost,Human-impacted
GCF_003052045.1_ASM305204v1,NA,NA,NA
GCF_000198775.1_ASM19877v1,NA,NA,NA
GCF_000317515.1_ASM31751v1,NA,Soil; orchid house; San Francisco; USA; 1971,Soil
GCF_001747445.1_ASM174744v1,NA,Doenjang,Food
GCF_001579525.1_ASM157952v1,Macaca mulatta,oral cavity,Animals
GCF_003330805.1_ASM333080v1,NA,soil,Soil
GCF_002831585.1_ASM283158v1,NA,agricultural soil,Soil
GCF_000020365.1_ASM2036v1,NA,NA,NA
GCF_011604505.1_ASM1160450v1,Trifolium pratense,Clover nodules,Plants
GCF_001854325.1_ASM185432v1,NA,Lake Kulim; Kedah; Malaysia,Freshwater
GCF_001447135.1_ASM144713v1,NA,NP30 nitrate/perchlorate-reducing mixed,Human-impacted
GCF_012272955.1_ASM1227295v1,NA,activated sludge in our lab,Human-impacted
GCF_004063735.1_ASM406373v1,Homo sapiens,NA,Humans
GCF_011742415.2_ASM1174241v2,Homo sapiens,blood,Humans
GCF_009708815.1_ASM970881v1,Salmo salar,NA,Animals
GCF_002833445.1_ASM283344v1,Homo sapiens,Pancreatic Fluid,Humans
GCF_002116735.1_ASM211673v1,Skeletonema marinoi strain RO5AC,Top-layer sediments,Sediment
GCF_002865885.1_ASM286588v1,NA,NA,NA
GCF_000746505.1_ASM74650v1,NA,NA,NA
GCF_002891965.1_ASM289196v1,NA,clam larvae aquaculture,Human-impacted
GCF_005080825.1_ASM508082v1,Thelaxes californica,air,Animals
GCF_009497855.1_ASM949785v1,Beef,retail meat,Food
GCF_003410355.1_ASM341035v1,NA,sediment,Sediment
GCF_000218895.1_ASM21889v1,NA,fresh water lake,Freshwater
GCF_005145025.1_ASM514502v1,NA,freshwater,Freshwater
GCF_001039435.1_ASM103943v1,Homo sapiens,Penial Swab,Humans
GCF_008926145.1_ASM892614v1,NA,bovine,Livestock
GCF_013200995.1_ASM1320099v1,NA,soil,Soil
GCF_013372385.1_ASM1337238v1,Homo sapiens,urine,Humans
GCF_900636315.1_40363_G01,NA,Urine,Humans
GCF_002850055.1_ASM285005v1,NA,water kefir,Food
GCF_001581975.1_ASM158197v1,NA,marine sediments,Sediment
GCF_012051625.1_ASM1205162v1,duck,feces,Livestock
GCF_001548435.1_ASM154843v1,NA,NA,NA
GCF_000317835.1_ASM31783v1,NA,Arid soil collected from a coastal desert north of Antofagasta in Chile,Soil
GCF_000214175.1_ASM21417v1,NA,crude oil-polluted soil,Human-impacted
GCF_006384995.1_ASM638499v1,Homo sapiens,feces,Humans
GCF_000711095.1_B2_267,Homo sapiens,feces,Humans
GCF_000223215.1_ASM22321v1,NA,NA,NA
GCF_000376705.1_ASM37670v1,NA,NA,NA
GCF_007431745.1_ASM743174v1,mouse,NA,Animals
GCF_000010765.1_ASM1076v1,NA,NA,NA
GCF_000968195.1_ASM96819v1,NA,NA,NA
GCF_000367545.2_ASM36754v2,NA,NA,NA
GCF_010093005.1_ASM1009300v1,Bactrocera dorsalis,NA,Animals
GCF_011995885.1_ASM1199588v1,Solanum lycopersicum (tomato),tomato with bacterial canker symptoms at Limache,Agriculture
GCF_003866015.1_ASM386601v1,NA,soil,Soil
GCF_000830055.1_ASM83005v1,Homo sapiens,NA,Humans
GCF_008931185.1_ASM893118v1,NA,water,Freshwater
GCF_002142655.1_ASM214265v1,Penaeus vannamei,NA,Animals
GCF_003175155.1_INBov1,cow,rumen,Livestock
GCF_002752735.1_ASM275273v1,Homo sapiens,synovial fluid,Humans
GCF_001018835.2_ASM101883v2,Homo sapiens,wound,Humans
GCF_000419425.1_ASM41942v1,NA,NA,NA
GCF_002024845.1_ASM202484v1,NA,environment,NA
GCF_003097595.1_ASM309759v1,NA,pig feed from feed plant,Livestock
GCF_001494675.1_ASX_PRJEB7163_v1,NA,NA,NA
GCF_013267315.1_ASM1326731v1,NA,NA,NA
GCF_011040475.1_ASM1104047v1,Apostichopus japonicus,Intestine content,Animals
GCF_011006575.1_ASM1100657v1,NA,blood,Humans
GCF_000750225.1_ASM75022v1,Homo sapiens,tracheal aspirate,Humans
GCF_005518095.1_ASM551809v1,Homo sapiens,Pus,Humans
GCF_013167935.1_ASM1316793v1,Homo sapiens,NA,Humans
GCF_900087815.2_WHOX,NA,NA,NA
GCF_000021665.1_ASM2166v1,NA,NA,NA
GCF_000012905.2_ASM1290v2,NA,NA,NA
GCF_000783595.2_ASM78359v2,Homo sapiens,Abscess swab,Humans
GCF_005222385.1_ASM522238v1,NA,cattle,Livestock
GCF_000520875.1_ASM52087v1,NA,plant root,Plants
GCF_002000765.1_ASM200076v1,Homo sapiens,Perineum,Humans
GCF_005843965.1_ASM584396v1,Homo sapiens,NA,Humans
GCF_000363915.2_MaINCQS00594_1.0,Homo sapiens,surgical-site abscess material,Humans
GCF_001554015.1_ASM155401v1,Homo sapiens,Supragingival dental plaque; molar tooth,Humans
GCF_012273075.1_ASM1227307v1,Homo sapiens,clinical isolate,Humans
GCF_013167535.1_ASM1316753v1,Homo sapiens,NA,Humans
GCF_000935025.1_ASM93502v1,NA,soil of Hengshui Lake,Soil
GCF_009739655.1_ASM973965v1,Tomato,NA,Agriculture
GCF_004102585.1_ASM410258v1,NA,food,Food
GCF_000953355.1_XNC2,NA,NA,NA
GCF_002012245.1_ASM201224v1,Homo sapiens,NA,Humans
GCF_001753265.1_ASM175326v1,NA,environmental,NA
GCF_000786735.1_ASM78673v1,Homo sapiens,unavailable,Humans
GCF_001563565.1_ASM156356v1,Homo sapiens,enteritis,Humans
GCF_008728215.1_ASM872821v1,NA,soil core,Soil
GCF_000241055.1_ASM24105v1,NA,NA,NA
GCF_002117725.1_ASM211772v1,Phaseolus vulgaris,NA,Agriculture
GCF_001046955.1_ASM104695v1,NA,NA,NA
GCF_003571625.1_ASM357162v1,NA,NA,NA
GCF_002156825.1_ASM215682v1,NA,fecal sample,Humans
GCF_000724385.2_It1_0.1,cattle,abomasal content,Livestock
GCF_009684575.1_ASM968457v1,NA,blood specimen,Humans
GCF_009913135.1_ASM991313v1,Homo sapiens,NA,Humans
GCF_000196675.1_ASM19667v1,NA,industrial sludge contaminated with 1;4-dioxane,Human-impacted
GCF_001278445.1_ASM127844v1,Ovis aries,NA,Animals
GCF_003205795.1_ASM320579v1,NA,wastewater treatment plant,Human-impacted
GCF_008124445.1_ASM812444v1,NA,turkey,Livestock
GCF_000007525.1_ASM752v1,NA,NA,NA
GCF_009913535.1_ASM991353v1,NA,kimchi,Food
GCF_001558995.2_ASM155899v2,Bos taurus,fecal beef calf,Livestock
GCF_001802735.1_ASM180273v1,Homo sapiens,bloodstream,Humans
GCF_001417865.2_ASM141786v2,Zea mays,NA,Agriculture
GCF_001931595.1_ASM193159v1,NA,chicken breast,Food
GCF_000007645.1_ASM764v1,NA,NA,NA
GCF_003590545.1_ASM359054v1,Acyrthosiphon pisum,NA,Animals
GCF_002248945.2_ASM224894v2,Swine,Rectal swab,Livestock
GCF_001889365.1_ASM188936v1,NA,NA,NA
GCF_000009625.1_ASM962v1,NA,NA,NA
GCF_000025685.1_ASM2568v1,NA,NA,NA
GCF_002094995.1_ASM209499v1,turfgrass,soil,Soil
GCF_000024865.1_ASM2486v1,NA,NA,NA
GCF_001548095.1_Gm3709_assembly_1.0,NA,water,Freshwater
GCF_013114915.1_ASM1311491v1,Homo sapiens,tracheal aspirate,Humans
GCF_002930755.1_ASM293075v1,Canis lupus familiaris,oral swab,Livestock
GCF_000241955.1_ASM24195v1,NA,drinking water,Freshwater
GCF_003953905.1_ASM395390v1,Homo sapiens,NA,Humans
GCF_010384365.1_ASM1038436v1,Leontopodium nivale,rhizosphere,Soil
GCF_009709135.1_ASM970913v1,Oncorhynchus kisutch,NA,Animals
GCF_000344335.2_ASM34433v2,Actinidia,NA,Agriculture
GCF_001182785.1_ASM118278v1,NA,soil sample,Soil
GCF_009739825.1_ASM973982v1,Homo sapiens,blood,Humans
GCF_000069185.1_ASM6918v1,NA,NA,NA
GCF_012053525.1_ASM1205352v1,Homo sapiens,Diarrheal patient,Humans
GCF_003325135.1_ASM332513v1,NA,NA,NA
GCF_009708355.1_ASM970835v1,Salmo salar,NA,Animals
GCF_003008595.1_ASM300859v1,NA,Dust collector of pigpen,Human-impacted
GCF_013372305.1_ASM1337230v1,Homo sapiens,urine,Humans
GCF_003428805.1_ASM342880v1,Nusuttodinium aeruginosum,NA,Plants
GCF_008931565.1_ASM893156v1,Homo sapiens,clinical sample,Humans
GCF_009664555.1_ASM966455v1,Homo sapiens,NA,Humans
GCF_003431405.1_ASM343140v1,Porcine,Lung,Livestock
GCF_013114935.1_ASM1311493v1,Homo sapiens,tracheal aspirate,Humans
GCF_001536305.1_Leuconostoc_gelidum_subsp._gasicomitatum_KG16-1,NA,NA,NA
GCF_009930935.1_ASM993093v1,Homo sapiens,NA,Humans
GCF_002073955.1_ASM207395v1,Pthirus pubis,NA,Animals
GCF_000179015.2_ASM17901v2,NA,NA,NA
GCF_000016365.1_ASM1636v1,NA,NA,NA
GCF_002285675.1_ASM228567v1,Homo sapiens,NA,Humans
GCF_001420855.1_ASM142085v1,NA,soil,Soil
